ZCTA5,Nearest_Hospital_Distance
77304,0.0
77316,18626.891026371
77326,26611.26557153267
77328,31314.00114862956
77336,13743.412361435503
77340,0.0
77345,6939.508805625422
77350,15300.958243339097
77354,16236.235255842985
77356,26086.812155003834
77358,16114.633554315746
77362,11940.9995676377
77364,27637.467766476133
77367,15842.846159392526
77371,23344.53309989677
77373,9506.406539082933
77377,9404.734609063611
77379,9024.915197053037
77382,7401.198702555361
77385,8502.752600270587
77388,7134.401536850466
77396,8247.990925730257
77407,9925.29353916629
77414,0.0
77418,0.0
77420,39413.08014452343
77423,21074.403134408894
77428,49167.1068348787
77432,20623.80059059114
77437,0.0
77441,14227.967066719886
77444,26656.662404835693
77449,11558.51280326312
77450,6982.656744307201
77455,19146.464418794134
77456,26728.214726246795
77458,33434.58624204815
77461,18768.52840161385
77465,42625.9347541796
77467,17490.816124707264
77469,0.0
77475,22335.80217197158
77477,4550.831522173284
77480,27671.072394857652
77481,13766.040599276768
77482,25828.594442339763
77484,32159.87711540161
77485,28929.156664958067
77486,26667.30177314853
77488,24211.73731519161
77489,7986.761717300659
77493,13960.685236736235
77494,0.0
77498,5888.545193323325
77502,4177.308903942354
77503,7566.650456922845
77505,0.0
77511,23162.717016471168
77515,16049.809184788632
77519,37786.962851731245
77521,0.0
77530,16265.058284750643
77532,19689.409063966054
77534,29101.041745282368
77536,6962.079046172891
77539,15265.25131939467
77546,6822.097068596945
77550,47801.92043553965
77554,44187.77112978081
77562,10615.359245316082
77566,0.0
77571,11076.92669765913
77575,38261.35055880573
77580,13932.748539461301
77583,24428.450733360653
77585,45090.31581065529
77590,29231.17707882116
77597,29763.139185798915
77611,21491.51591222141
77613,25792.638777569784
77615,31563.697589272524
77622,34733.24284118342
77625,46578.97477484671
77629,33546.806875703696
77640,0.0
77642,7962.093307923553
77655,21836.76259047456
77657,19458.800805303836
77660,33103.98720894851
77662,16691.762696191407
77703,5540.490522023201
77705,22528.118975076308
77707,6869.527115414813
77803,7438.641672346436
77808,16612.07702159723
77831,42079.74024686073
77835,21064.08914202703
77840,6758.217825633736
77853,52399.88661310538
77856,54616.378079028356
77859,34590.8228466203
77865,61570.0062032231
77868,34571.74454516966
77872,37592.221753780424
77876,37725.782021924715
77904,15501.49029549031
77950,57998.82694365692
77954,0.0
77960,30284.31500171087
77962,33627.89251651287
77968,20255.659641231578
77970,49935.74550733389
77973,33282.06627384097
